rule_id,scale,scope,metric,target_min,target_max,weight,hard_gate,description
block_frontage_coverage,block,urban_land,street_frontage_coverage,0.62,0.86,1.0,true,"Most road-facing block edges should read as a continuous street wall rather than isolated buildings."
block_open_space_share,block,urban_land,intentional_open_space_share,0.10,0.24,0.9,true,"Preserve parks courtyards car parks and service courts as deliberate negative space rather than filling every gap."
block_merged_lot_share,block,urban_land,merged_lot_building_share,0.15,0.30,0.9,true,"Consolidate a minority of adjacent lots into larger apartment church or civic footprints without scaling windows walls or roof components."
block_corner_anchor_share,block,urban_land,occupied_major_corner_share,0.55,0.90,0.9,false,"Major intersections should usually have an anchored corner building using chamfered L or perimeter massing."
block_attached_run_length,block,urban_land,attached_buildings_per_run,2,6,1.0,false,"Prefer short attached or nearly attached frontage runs rather than one freestanding building per parcel."
block_alley_gap,block,urban_land,service_gap_px,12,38,0.8,false,"Small gaps should read as alleys or service access; avoid arbitrary medium-sized voids between buildings."
block_courtyard_share,block,dense_urban,courtyard_or_u_shape_share,0.18,0.42,0.8,false,"Dense blocks should regularly use U-shape courtyard perimeter or L-shape massing to create authored interior space."
block_height_cluster,block,urban_land,adjacent_height_band_match_share,0.55,0.85,0.7,false,"Building height bands should cluster along a block instead of changing randomly at every lot."
building_irregular_shape,building,ordinary,non_rectangular_massing_share,0.62,0.88,1.0,true,"Most ordinary buildings should use stepped chamfered L U courtyard or perimeter footprints; plain rectangles are the minority."
building_shape_dominance,building,ordinary,max_single_shape_share,0.00,0.26,0.9,true,"No single footprint shape should dominate the district."
building_frontage_alignment,building,road_facing,frontage_angle_error_deg,0,12,1.0,false,"Road-facing building edges should approximately follow the nearest road instead of ignoring street geometry."
building_setback,building,road_facing,frontage_setback_px,18,72,1.0,false,"Keep buildings close enough to sidewalks to form streets while retaining a readable pedestrian edge."
building_component_scale,building,all,component_scale_ratio,0.88,1.12,1.0,true,"Walls windows stairs rooftop units and facade modules remain approximately constant physical size across all footprints."
building_landmark_frequency,building,urban_land,ordinary_buildings_per_landmark,18,55,0.7,false,"Churches civic buildings and distinctive towers should punctuate the city without becoming common."
building_landmark_spacing,building,landmark,min_landmark_spacing_px,420,2200,0.7,false,"Recognizable landmarks should usually have breathing room and not appear as randomly repeated special sprites."
art_material_family,art,district,active_material_families,4,8,0.8,false,"Each district should reuse a small coherent set of roof facade and trim families rather than assigning every building an unrelated palette."
art_neighbor_material_repeat,art,district,neighbor_same_family_share,0.22,0.58,0.7,false,"Some adjacent buildings should visibly belong to the same construction era while avoiding copy-paste repetition."
art_roof_module_density,art,large_roofs,roof_modules_per_10000_px2,1.5,4.5,0.8,false,"Large roofs need fixed-size HVAC skylight bulkhead tank vent and stair modules so they do not read as enlarged flat sprites."
art_roof_hierarchy,art,large_roofs,distinct_roof_module_types,2,5,0.8,false,"Large merged footprints should contain multiple module types and a clear primary roof feature."
art_detail_repeat_limit,art,district,max_exact_detail_signature_share,0.00,0.035,0.8,true,"Exact roof facade and clutter signatures should almost never repeat across many buildings."
art_water_palette_seam,art,hudson,boundary_mean_rgb_error,0,3,1.0,true,"Water texture and palette must remain visually continuous across generated and protected-map boundaries."
road_grid_regularization,road,extension,orthogonal_segment_share,0.00,0.55,0.9,true,"The extension should retain many angled or gently bending streets instead of collapsing into a perfect orthogonal grid."
road_crossing_orientation,road,all,zebra_parallel_error_deg,0,5,1.0,true,"Zebra bars remain parallel to lane direction and compact relative to road width."
road_sidewalk_continuity,road,all,clear_sidewalk_sample_share,0.985,1.0,1.0,true,"Sidewalk ribbons remain continuous except at legitimate junction and crossing space."
landscape_preservation,landscape,all,preserved_water_green_share,0.90,1.0,1.0,true,"Existing meaningful water and green areas should survive generation rather than being replaced by buildings or roads."
