section,key,value,type,notes
camera,lookahead_enabled,true,bool,Allow capped mouse camera look-ahead
camera,walking_max_px,220,float,Maximum camera look-ahead while walking
camera,driving_max_px,320,float,Maximum camera look-ahead while driving
camera,deadzone_px,70,float,Mouse distance before look-ahead begins
camera,full_lookahead_mouse_distance_px,480,float,Mouse distance that reaches full look-ahead
camera,smoothing_per_second,8.5,float,Camera response rate
camera,return_smoothing_per_second,11.0,float,Camera recentering rate
controls,movement_aim_independent,true,bool,WASD movement is independent of aim
controls,local_player_camera_facing,true,bool,Idle body visually realigns to camera; moving body follows camera-relative walking direction
controls,camera_relative_movement,true,bool,On-foot WASD rotates with the camera so W stays screen-forward; vehicle controls remain vehicle-relative
controls,body_follows_movement,true,bool,Body facing changes only while movement is active
controls,idle_body_realign_camera,true,bool,When movement stops local body settles back to camera-facing idle orientation
debug,show_camera_lookahead,false,bool,Draw camera debug indicator
traffic,default_moving_cars,28,int,Default number of moving civilian cars
traffic,wait_priority_gain,1.0,float,Priority gained per second waiting
traffic,stuck_recycle_seconds,8.0,float,Recycle off-screen AI cars stuck this long
traffic,visible_stall_recovery_seconds,2.2,float,Nudge and advance on-screen AI cars stalled by deadlock
traffic,recycle_player_clearance_px,900,float,Do not recycle cars near players
traffic,max_wait_priority,15.0,float,Cap right-of-way wait credit
traffic,follow_time_seconds,0.14,float,Extra time headway for following
npc,pedestrians_per_route,5,int,Target pedestrians per sidewalk route for the v0.9.0 population pass
npc,personal_space_px,36,float,Pedestrian separation radius after the v1.2 world-scale increase
npc,active_radius_px,1800,float,Full NPC update radius around players
npc,far_update_hz,5,float,Update rate for distant NPCs
npc,runover_min_speed_mph,30,float,Minimum measured vehicle impact speed before a pedestrian NPC can be run over
npc,blood_stain_seconds,12,float,Seconds a stylized red run-over stain remains visible
npc,runover_respawn_seconds,18,float,Delay before a replacement NPC returns to the same route
bicycle,ai_cyclists_per_route,3,int,Cyclists spawned per bike route
bicycle,parked_bikes,28,int,Maximum parked bicycles from map spawn points
bicycle,ai_speed_px_s,118,float,Typical cyclist speed
bicycle,player_max_speed_px_s,190,float,Player bicycle maximum speed
bicycle,player_acceleration_px_s2,175,float,Player bicycle acceleration
bicycle,player_brake_px_s2,260,float,Player bicycle braking
bicycle,player_turn_rate,3.6,float,Player bicycle steering rate
bicycle,collision_length_px,42,float,Server-authoritative top-down bicycle body length used against cars water and buildings
bicycle,collision_width_px,18,float,Server-authoritative top-down bicycle body width used against cars water and buildings
movement,walk_speed_px_per_second,92.5,float,Shared preview and server-authoritative on-foot walking speed; half the previous movement speed
movement,sprint_multiplier,3.0,float,Hold either Shift key while moving to run on foot; run remains three times walk and is therefore also half its previous absolute speed
movement,sprint_animation_rate_multiplier,1.85,float,Run-cycle playback multiplier while sprinting
movement,sprint_gait_width_multiplier,1.48,float,Maximum authored leg-separation multiplier at the peak run frames
movement,jump_forward_speed_px_per_second,570,float,Server-authoritative initial single-jump forward propulsion
movement,jump_duration_seconds,0.75,float,Server-authoritative single-jump airborne duration
movement,double_jump_window_seconds,0.55,float,Maximum time after first launch for a second Space press
movement,double_jump_forward_speed_px_per_second,313.3333333333333,float,Server-authoritative second-launch propulsion; one third of the previous double-jump forward speed
movement,double_jump_duration_seconds,0.95,float,Server-authoritative double-jump airborne duration
movement,movement_stand_delay_seconds,1.0,float,Continuous directional input required before movement resumes from crouch or prone
movement,water_walk_speed_multiplier,0.28,float,On-foot movement speed while wading in water; vehicles and bicycles remain blocked
vehicle,mph_per_px_s,0.18,float,Display/physics conversion used for mph
vehicle,player_cruise_max_mph,62,float,Normal W throttle top speed
vehicle,player_boost_max_mph,88,float,Shift full-throttle top speed
vehicle,player_accel_px_s2,220,float,Normal player car acceleration
vehicle,player_boost_accel_px_s2,340,float,Shift full-throttle acceleration
vehicle,player_reverse_px_s,112,float,Player reverse speed cap
vehicle,player_reverse_accel_px_s2,145,float,Player reverse acceleration
vehicle,player_brake_px_s2,390,float,Player braking
vehicle,player_drag_px_s2,92,float,Player coasting drag
render,player_scale,2,int,Walking player sprite scale
render,jump_scale_multiplier,1.35,float,Enlarge local and remote player sprites during the jump pose
render,jump_lift_px,10,int,Lift jumping player sprites upward in screen pixels before camera zoom
render,double_jump_scale_multiplier,1.50,float,Make a double jump slightly larger than a single jump for every client
render,double_jump_lift_px,14,int,Lift double-jumping player sprites slightly higher than a single jump
render,npc_scale,2,int,Pedestrian NPC sprite scale
render,cyclist_rider_scale,2,int,Cyclist rider sprite scale
render,fractional_zoom_filter,smooth,str,Use filtered one-pass downscale below 1x to suppress fractional-zoom aliasing
render,camera_pixel_snap,true,bool,Snap render camera to integer world pixels to reduce shimmer
render,filtered_rotation,true,bool,Use filtered whole-scene camera rotation to reduce jagged edges
camera,zoom_default,0.85,float,Default gameplay camera zoom; wider view approved for v2.2
camera,zoom_min,0.55,float,Minimum mouse-wheel zoom
camera,zoom_max,2.0,float,Maximum mouse-wheel zoom
camera,zoom_step,0.10,float,Mouse-wheel zoom increment
camera,rotation_enabled,true,bool,Hold middle mouse and drag to rotate the gameplay camera
camera,rotation_default_degrees,0,float,Starting camera rotation; 0 keeps north at screen-up
camera,rotation_sensitivity_deg_per_px,0.32,float,Degrees of camera rotation per horizontal middle-mouse drag pixel
camera,rotation_snap_degrees,0,float,Optional angle snapping on middle-mouse release; 0 is continuous
camera,center_player_when_rotated,true,bool,Keep local player exactly at screen center whenever the view is rotated
traffic,ai_turn_radius_px,34,float,Default smoothed AI car corner radius; smaller is easier/tighter
bicycle,ai_turn_radius_px,14,float,Tighter cyclist corner radius than cars
vehicle,player_turn_rate,3.6,float,Player car steering rate; raised for more immediate GTA2-style urban turning
vehicle,player_signal_turn_multiplier,1.32,float,Steering-rate multiplier when the active indicator matches the turn direction
vehicle,player_front_axle_offset_ratio,0.36,float,Player car steering pivot measured forward from body center as a fraction of collision length
vehicle,passenger_capacity,3,int,Maximum player passengers in a car in addition to the driver
vehicle,passenger_board_max_speed_px_s,35,float,Maximum car speed at which a nearby player can board as passenger
vehicle,passenger_exit_max_speed_px_s,70,float,Passengers and drivers must slow below this speed before exiting
vehicle,player_handbrake_px_s2,760,float,Deceleration while a player driver holds Space
engine,ai_profile_version,2,int,v2.0 directional-flow AI tuning migration marker
engine,client_profile_version,290,int,v0.9.0 consolidation profile: tighter steering, true animation-free layer transitions, and collision recovery
render,fast_rotation_while_dragging,true,bool,Use fast whole-scene rotation during active middle-mouse drag; filtered final frame resumes on release
render,defer_25d_rotation_while_dragging,true,bool,Do not rebuild camera-aware 2.5D chunk art during every mouse movement; apply final 30-degree extrusion bucket on release
engine,interest_manager_version,2,int,Chunk-bucket snapshot interest manager with logical server regions
engine,world_map_player_roster_hz,2.0,float,Global lightweight player-marker refresh rate for the M world map
engine,local_chat_radius_px,850,float,Maximum outdoor distance for local speech-bubble chat
movement,layer_transition_jump_seconds,0.0,float,Automatic authored map-level transitions do not trigger the jump pose
